from,to,value
Astel,Botan,6.71
Ayame,Botan,18.59
AZki,Botan,27.56
Baelz,Botan,8.93
Calli,Botan,5.9
Choco,Botan,38.25
Fauna,Botan,7.16
Flare,Botan,28.32
Fubuki,Botan,21.87
Gura,Botan,5.61
Haato,Botan,21.32
Ina,Botan,6.54
Iofi,Botan,9.42
IRyS,Botan,8.87
Izuru,Botan,5.66
Kanata,Botan,22.71
Kiara,Botan,7.72
Korone,Botan,21.56
Kronii,Botan,6.28
Lamy,Botan,31.21
Luna,Botan,22.6
Marine,Botan,22.5
Matsuri,Botan,23.83
Mel,Botan,25.46
Miko,Botan,17.73
Mio,Botan,31.36
Miyabi,Botan,6.33
Moona,Botan,9.48
Mumei,Botan,6.25
Nene,Botan,27.86
Noel,Botan,20.83
Oga,Botan,11.46
Okayu,Botan,23.98
Ollie,Botan,8.15
Pekora,Botan,13.42
Polka,Botan,35.33
Reine,Botan,9.79
Rikka,Botan,6.55
Risu,Botan,7.47
Roberu,Botan,11.66
Roboco,Botan,32.45
Rushia,Botan,15.95
Sana,Botan,7.91
Shien,Botan,7.08
Shion,Botan,25.22
Sora,Botan,29.7
Subaru,Botan,22.46
Suisei,Botan,19.97
Temma,Botan,7.33
Towa,Botan,25.35
Watame,Botan,22.76
Aki,Calli,13.26
Amelia,Calli,36.87
Anya,Calli,15.37
Aqua,Calli,5.7
Aruran,Calli,8.59
Astel,Calli,7.99
Ayame,Calli,4.95
AZki,Calli,12.49
Baelz,Calli,29.36
Botan,Calli,8.57
Choco,Calli,9.64
Fauna,Calli,32.47
Flare,Calli,6.82
Fubuki,Calli,7.7
Gura,Calli,27.01
Haato,Calli,14.57
Ina,Calli,33.58
Iofi,Calli,8.4
IRyS,Calli,30.33
Izuru,Calli,4.14
Kanata,Calli,5.45
Kiara,Calli,33.65
Korone,Calli,8.46
Kronii,Calli,29.38
Lamy,Calli,5.91
Luna,Calli,8.54
Marine,Calli,6.14
Matsuri,Calli,7.48
Mel,Calli,13.26
Miko,Calli,5.39
Mio,Calli,5.64
Miyabi,Calli,4.43
Moona,Calli,11.01
Mumei,Calli,29.04
Nene,Calli,8.28
Noel,Calli,5
Oga,Calli,5.77
Okayu,Calli,5.2
Ollie,Calli,19.81
Pekora,Calli,6.62
Polka,Calli,8.36
Reine,Calli,23.14
Rikka,Calli,6.36
Risu,Calli,10.52
Roberu,Calli,5.26
Roboco,Calli,9.98
Rushia,Calli,4.47
Sana,Calli,34.72
Shien,Calli,6.23
Shion,Calli,5.96
Sora,Calli,9.69
Subaru,Calli,4.17
Suisei,Calli,6.24
Temma,Calli,6.28
Towa,Calli,10.62
Watame,Calli,6.92
Aki,Choco,21.44
Amelia,Choco,2.26
Anya,Choco,9.01
Aqua,Choco,11.03
Aruran,Choco,8.23
Astel,Choco,4.17
Ayame,Choco,9.42
AZki,Choco,22.65
Baelz,Choco,3.26
Botan,Choco,11.99
Calli,Choco,2.08
Fauna,Choco,2.74
Flare,Choco,12.34
Fubuki,Choco,8.98
Gura,Choco,2.08
Haato,Choco,11.11
Ina,Choco,2.32
Iofi,Choco,4.92
IRyS,Choco,3.45
Izuru,Choco,3.63
Kanata,Choco,10.34
Kiara,Choco,3.14
Korone,Choco,7.63
Kronii,Choco,2.3
Lamy,Choco,12.13
Luna,Choco,11.97
Marine,Choco,10.71
Matsuri,Choco,14.28
Mel,Choco,33.42
Miko,Choco,7.29
Mio,Choco,14.64
Miyabi,Choco,3.26
Moona,Choco,4.25
Mumei,Choco,2.25
Nene,Choco,11.29
Noel,Choco,10.98
Oga,Choco,6.2
Okayu,Choco,9.08
Ollie,Choco,3.24
Pekora,Choco,4.83
Polka,Choco,14.66
Reine,Choco,4.52
Rikka,Choco,3.64
Risu,Choco,3.65
Roberu,Choco,5.42
Roboco,Choco,20.15
Rushia,Choco,7.69
Sana,Choco,3.27
Shien,Choco,3.75
Shion,Choco,13.07
Sora,Choco,18.14
Subaru,Choco,9.4
Suisei,Choco,8.93
Temma,Choco,5.1
Towa,Choco,12.19
Watame,Choco,10.31
Aki,Fauna,15.25
Amelia,Fauna,32.32
Anya,Fauna,19.5
Aqua,Fauna,6.79
Aruran,Fauna,8.73
Astel,Fauna,7.37
Ayame,Fauna,5.89
AZki,Fauna,15.54
Baelz,Fauna,33.56
Botan,Fauna,9.87
Calli,Fauna,30.79
Choco,Fauna,12.03
Flare,Fauna,7.58
Fubuki,Fauna,7.99
Gura,Fauna,24.66
Haato,Fauna,15.39
Ina,Fauna,32.99
Iofi,Fauna,11.04
IRyS,Fauna,32.22
Izuru,Fauna,4.4
Kanata,Fauna,5.8
Kiara,Fauna,29.87
Korone,Fauna,8.45
Kronii,Fauna,35.68
Lamy,Fauna,7.49
Luna,Fauna,8.78
Marine,Fauna,6.41
Matsuri,Fauna,8.49
Mel,Fauna,14.32
Miko,Fauna,5.61
Mio,Fauna,6.18
Miyabi,Fauna,4.52
Moona,Fauna,13.13
Mumei,Fauna,40.42
Nene,Fauna,9.69
Noel,Fauna,5.98
Oga,Fauna,5.6
Okayu,Fauna,5.09
Ollie,Fauna,19.71
Pekora,Fauna,6.86
Polka,Fauna,9.22
Reine,Fauna,25.33
Rikka,Fauna,6.45
Risu,Fauna,12.58
Roberu,Fauna,4.68
Roboco,Fauna,11.61
Rushia,Fauna,4.94
Sana,Fauna,44.19
Shien,Fauna,5.2
Shion,Fauna,6.91
Sora,Fauna,11.86
Subaru,Fauna,4.19
Suisei,Fauna,7.14
Temma,Fauna,6.55
Towa,Fauna,12.13
Watame,Fauna,8.29
Aki,Flare,25.53
Amelia,Flare,3.58
Anya,Flare,12.59
Aqua,Flare,16
Aruran,Flare,12.32
Astel,Flare,4.43
Ayame,Flare,13.04
AZki,Flare,23.37
Baelz,Flare,5.52
Botan,Flare,21.22
Calli,Flare,3.51
Choco,Flare,29.51
Fauna,Flare,4.12
Fubuki,Flare,18.58
Gura,Flare,3.33
Haato,Flare,16.14
Ina,Flare,4.21
Iofi,Flare,6.12
IRyS,Flare,5.48
Izuru,Flare,4.65
Kanata,Flare,21.76
Kiara,Flare,5.14
Korone,Flare,14.55
Kronii,Flare,3.48
Lamy,Flare,23.21
Luna,Flare,18.56
Marine,Flare,22.49
Matsuri,Flare,19.29
Mel,Flare,23.61
Miko,Flare,16.54
Mio,Flare,24.58
Miyabi,Flare,6.06
Moona,Flare,6.46
Mumei,Flare,3.53
Nene,Flare,19.08
Noel,Flare,20.68
Oga,Flare,9.91
Okayu,Flare,17.18
Ollie,Flare,5.17
Pekora,Flare,11.24
Polka,Flare,29.28
Reine,Flare,6.06
Rikka,Flare,4.55
Risu,Flare,5.11
Roberu,Flare,10.12
Roboco,Flare,23.64
Rushia,Flare,15.18
Sana,Flare,4.98
Shien,Flare,7.08
Shion,Flare,23.23
Sora,Flare,24.67
Subaru,Flare,17.25
Suisei,Flare,15.8
Temma,Flare,6.1
Towa,Flare,16.92
Watame,Flare,19.81
Aki,Fubuki,27.73
Amelia,Fubuki,6.68
Anya,Fubuki,15.02
Aqua,Fubuki,20.9
Aruran,Fubuki,15.42
Astel,Fubuki,7.24
Ayame,Fubuki,21.7
AZki,Fubuki,25.28
Baelz,Fubuki,8.2
Botan,Fubuki,25.08
Calli,Fubuki,6.08
Choco,Fubuki,32.88
Fauna,Fubuki,6.65
Flare,Fubuki,28.45
Gura,Fubuki,5.71
Haato,Fubuki,19.25
Ina,Fubuki,6.72
Iofi,Fubuki,10.95
IRyS,Fubuki,8.1
Izuru,Fubuki,6.93
Kanata,Fubuki,24.71
Kiara,Fubuki,7.27
Korone,Fubuki,19.83
Kronii,Fubuki,5.77
Lamy,Fubuki,25.84
Luna,Fubuki,22.68
Marine,Fubuki,22.17
Matsuri,Fubuki,30.89
Mel,Fubuki,32.89
Miko,Fubuki,18.24
Mio,Fubuki,34.27
Miyabi,Fubuki,8.33
Moona,Fubuki,8.24
Mumei,Fubuki,6.33
Nene,Fubuki,20.93
Noel,Fubuki,21.43
Oga,Fubuki,16.28
Okayu,Fubuki,24.71
Ollie,Fubuki,8.13
Pekora,Fubuki,12.95
Polka,Fubuki,32.42
Reine,Fubuki,8.91
Rikka,Fubuki,7.55
Risu,Fubuki,9.53
Roberu,Fubuki,13.26
Roboco,Fubuki,30.18
Rushia,Fubuki,18.79
Sana,Fubuki,7.07
Shien,Fubuki,9.38
Shion,Fubuki,23.01
Sora,Fubuki,27.75
Subaru,Fubuki,20.68
Suisei,Fubuki,20.11
Temma,Fubuki,8.88
Towa,Fubuki,20.78
Watame,Fubuki,23.35
Aki,Gura,15.59
Amelia,Gura,51.81
Anya,Gura,21.81
Aqua,Gura,11.63
Aruran,Gura,9.77
