from,to,value
Shion,Fubuki,26.55
Sora,Fubuki,27.94
Subaru,Fubuki,24.4
Suisei,Fubuki,24.19
Temma,Fubuki,12.12
Towa,Fubuki,24.45
Watame,Fubuki,25.55
Aki,Gura,28.13
Amelia,Gura,43.18
Anya,Gura,30.74
Aqua,Gura,16.75
Aruran,Gura,18.4
Astel,Gura,19.5
Ayame,Gura,17.98
AZki,Gura,26.99
Baelz,Gura,36.57
Botan,Gura,20.33
Calli,Gura,34.97
Choco,Gura,24.31
Fauna,Gura,35.21
Flare,Gura,17.48
Fubuki,Gura,18.58
Haato,Gura,26.96
Ina,Gura,43.09
Iofi,Gura,24.54
IRyS,Gura,38.52
Izuru,Gura,12.52
Kanata,Gura,18.29
Kiara,Gura,39.69
Korone,Gura,18.64
Kronii,Gura,34.8
Lamy,Gura,16.46
Luna,Gura,22.46
Marine,Gura,16.56
Matsuri,Gura,21.8
Mel,Gura,27.76
Miko,Gura,17.22
Mio,Gura,17.19
Miyabi,Gura,13.36
Moona,Gura,20.7
Mumei,Gura,37.1
Nene,Gura,22.23
Noel,Gura,14.11
Oga,Gura,12.79
Okayu,Gura,15.48
Ollie,Gura,27.74
Pekora,Gura,15.09
Polka,Gura,22.03
Reine,Gura,30.8
Rikka,Gura,17.11
Risu,Gura,28.77
Roberu,Gura,15.67
Roboco,Gura,24.84
Rushia,Gura,15.07
Sana,Gura,39.55
Shien,Gura,12.63
Shion,Gura,18.47
Sora,Gura,25.4
Subaru,Gura,15.57
Suisei,Gura,16.97
Temma,Gura,12.86
Towa,Gura,21.94
Watame,Gura,19.09
Aki,Haato,42.49
Amelia,Haato,21.25
Anya,Haato,35.85
Aqua,Haato,27.96
Aruran,Haato,24.78
Astel,Haato,21.97
Ayame,Haato,24.34
AZki,Haato,45.95
Baelz,Haato,26.54
Botan,Haato,29.67
Calli,Haato,21.2
Choco,Haato,38.72
Fauna,Haato,22.85
Flare,Haato,30.41
Fubuki,Haato,23.17
Gura,Haato,13.03
Ina,Haato,22.12
Iofi,Haato,27.99
IRyS,Haato,25.29
Izuru,Haato,11.94
Kanata,Haato,32.17
Kiara,Haato,25.76
Korone,Haato,24.26
Kronii,Haato,22.53
Lamy,Haato,29.86
Luna,Haato,38.41
Marine,Haato,27.4
Matsuri,Haato,33.46
Mel,Haato,47.59
Miko,Haato,26.01
Mio,Haato,31.05
Miyabi,Haato,14.63
Moona,Haato,20.66
Mumei,Haato,23.78
Nene,Haato,35.67
Noel,Haato,22.95
Oga,Haato,19.92
Okayu,Haato,23.67
Ollie,Haato,23.2
Pekora,Haato,20.11
Polka,Haato,35.86
Reine,Haato,31.01
Rikka,Haato,17.21
Risu,Haato,33.08
Roberu,Haato,19.18
Roboco,Haato,36.39
Rushia,Haato,22.22
Sana,Haato,27.78
Shien,Haato,12.98
Shion,Haato,34.04
Sora,Haato,37.4
Subaru,Haato,25.61
Suisei,Haato,28.7
Temma,Haato,14.47
Towa,Haato,31.88
Watame,Haato,29.39
Aki,Ina,23.14
Amelia,Ina,30.72
Anya,Ina,27.17
Aqua,Ina,10.26
Aruran,Ina,16.08
Astel,Ina,16.78
Ayame,Ina,11.98
AZki,Ina,24.04
Baelz,Ina,29.66
Botan,Ina,13.88
Calli,Ina,28.83
Choco,Ina,17.97
Fauna,Ina,32.67
Flare,Ina,12.41
Fubuki,Ina,12.66
Gura,Ina,18.53
Haato,Ina,19.68
Iofi,Ina,20.87
IRyS,Ina,31.46
Izuru,Ina,9.06
Kanata,Ina,11.73
Kiara,Ina,35.18
Korone,Ina,11.98
Kronii,Ina,31.1
Lamy,Ina,10.58
Luna,Ina,15.35
Marine,Ina,9.86
Matsuri,Ina,14.67
Mel,Ina,20.63
Miko,Ina,10.05
Mio,Ina,12.37
Miyabi,Ina,9.27
Moona,Ina,13.25
Mumei,Ina,35.3
Nene,Ina,16.43
Noel,Ina,8.07
Oga,Ina,10.56
Okayu,Ina,10.54
Ollie,Ina,20.95
Pekora,Ina,8.28
Polka,Ina,16.85
Reine,Ina,27.37
Rikka,Ina,13.17
Risu,Ina,22.85
Roberu,Ina,11.62
Roboco,Ina,20.15
Rushia,Ina,7.32
Sana,Ina,35.33
Shien,Ina,8.78
Shion,Ina,12.14
Sora,Ina,18.98
Subaru,Ina,9.75
Suisei,Ina,12.56
Temma,Ina,10.02
Towa,Ina,17.44
