from,to,value
Watame,Lui,18.19
Aki,Luna,20.27
Aqua,Luna,13.04
AZki,Luna,20.72
Botan,Luna,15.04
Chloe,Luna,14.55
Choco,Luna,22.56
Flare,Luna,13.63
Fubuki,Luna,14.73
Haato,Luna,19.38
Iroha,Luna,14.01
Kanata,Luna,14.38
Korone,Luna,16.49
Koyori,Luna,13.41
Lamy,Luna,13.34
Laplus,Luna,12.17
Lui,Luna,15.84
Marine,Luna,12.77
Matsuri,Luna,18.38
Mel,Luna,24.87
Miko,Luna,12.18
Mio,Luna,17.73
Nene,Luna,19.4
Noel,Luna,16.28
Okayu,Luna,18.91
Pekora,Luna,13.07
Polka,Luna,19.38
Roboco,Luna,18.53
Shion,Luna,17.2
Sora,Luna,16.05
Subaru,Luna,12.37
Suisei,Luna,12.23
Towa,Luna,16.27
Watame,Luna,15.5
Aki,Marine,20.64
Aqua,Marine,22.92
AZki,Marine,26.34
Botan,Marine,20.41
Chloe,Marine,23.34
Choco,Marine,31.25
Flare,Marine,24.76
Fubuki,Marine,18.13
Haato,Marine,26.23
Iroha,Marine,19.08
Kanata,Marine,23
Korone,Marine,17.86
Koyori,Marine,18.5
Lamy,Marine,35.3
Laplus,Marine,23.15
Lui,Marine,21.6
Luna,Marine,20.05
Matsuri,Marine,24.55
Mel,Marine,29.4
Miko,Marine,19.58
Mio,Marine,22.21
Nene,Marine,23.8
Noel,Marine,25.89
Okayu,Marine,22.77
Pekora,Marine,21.7
Polka,Marine,20.53
Roboco,Marine,19.96
Shion,Marine,38.32
Sora,Marine,19.14
Subaru,Marine,17.89
Suisei,Marine,22.77
Towa,Marine,19.03
Watame,Marine,15.93
Aki,Matsuri,31.98
Aqua,Matsuri,18.72
AZki,Matsuri,37.6
Botan,Matsuri,20.09
Chloe,Matsuri,20.01
Choco,Matsuri,29.08
Flare,Matsuri,21.28
Fubuki,Matsuri,26.28
Haato,Matsuri,27.07
Iroha,Matsuri,20.36
Kanata,Matsuri,23
Korone,Matsuri,15.08
Koyori,Matsuri,20.76
Lamy,Matsuri,20.44
Laplus,Matsuri,25.86
Lui,Matsuri,19.96
Luna,Matsuri,23.25
Marine,Matsuri,19.79
