from,to,value
Korone,Koyori,35.74
Lamy,Koyori,50.15
Laplus,Koyori,39.57
Lui,Koyori,41.09
Luna,Koyori,46.83
Marine,Koyori,34.39
Matsuri,Koyori,42.89
Mel,Koyori,51.12
Miko,Koyori,36.88
Mio,Koyori,48.93
Nene,Koyori,47.23
Noel,Koyori,41.36
Okayu,Koyori,36.41
Pekora,Koyori,31.19
Polka,Koyori,48.4
Raden,Koyori,34.2
Ririka,Koyori,43.51
Roboco,Koyori,49.24
Shion,Koyori,44.83
Sora,Koyori,40.53
Subaru,Koyori,38.74
Suisei,Koyori,33.46
Towa,Koyori,34.93
Watame,Koyori,40.34
Aki,Lamy,16.32
Ao,Lamy,20.94
Aqua,Lamy,13.45
Ayame,Lamy,18.22
AZki,Lamy,27.82
Botan,Lamy,31.23
Chloe,Lamy,26.37
Choco,Lamy,24.87
Flare,Lamy,27.09
Fubuki,Lamy,17.31
Hajime,Lamy,19.61
Iroha,Lamy,27.92
Kanade,Lamy,18.19
Kanata,Lamy,28.61
Korone,Lamy,17.73
Koyori,Lamy,20.51
Laplus,Lamy,21.26
Lui,Lamy,21.53
Luna,Lamy,25.46
Marine,Lamy,18.63
Matsuri,Lamy,24.88
Mel,Lamy,30.35
Miko,Lamy,17.14
Mio,Lamy,27.66
Nene,Lamy,33.81
Noel,Lamy,25.3
Okayu,Lamy,20.51
Pekora,Lamy,13.83
Polka,Lamy,28.69
Raden,Lamy,17.86
Ririka,Lamy,21.73
Roboco,Lamy,32.75
Shion,Lamy,28.46
Sora,Lamy,22.04
Subaru,Lamy,18.86
Suisei,Lamy,18.25
Towa,Lamy,19.94
Watame,Lamy,21.07
Aki,Laplus,2.05
Ao,Laplus,3.23
Aqua,Laplus,1.92
Ayame,Laplus,3.71
AZki,Laplus,3.48
Botan,Laplus,3.51
Chloe,Laplus,3.2
Choco,Laplus,2.98
Flare,Laplus,2.87
Fubuki,Laplus,2.19
Hajime,Laplus,3.1
Iroha,Laplus,4.05
Kanade,Laplus,2.57
Kanata,Laplus,3.27
Korone,Laplus,1.88
Koyori,Laplus,1.87
Lamy,Laplus,2.46
Lui,Laplus,2.11
Luna,Laplus,2.87
Marine,Laplus,2
Matsuri,Laplus,3.96
Mel,Laplus,4.58
Miko,Laplus,1.6
Mio,Laplus,3.14
Nene,Laplus,2.89
Noel,Laplus,2.44
Okayu,Laplus,3.45
Pekora,Laplus,1.38
Polka,Laplus,3.72
Raden,Laplus,2.28
Ririka,Laplus,2.59
Roboco,Laplus,6.61
Shion,Laplus,3.55
Sora,Laplus,2.98
Subaru,Laplus,1.71
Suisei,Laplus,2.15
Towa,Laplus,3.66
Watame,Laplus,2.19
Aki,Lui,23.66
Ao,Lui,30.36
Aqua,Lui,15.39
Ayame,Lui,19.16
AZki,Lui,34.76
Botan,Lui,34.61
Chloe,Lui,30.35
Choco,Lui,32.78
Flare,Lui,36.69
Fubuki,Lui,23.67
Hajime,Lui,26.53
Iroha,Lui,35.19
Kanade,Lui,23.6
Kanata,Lui,32.51
Korone,Lui,24.94
Koyori,Lui,26.56
Lamy,Lui,34.03
Laplus,Lui,28.84
Luna,Lui,32.18
Marine,Lui,24.45
Matsuri,Lui,29.57
Mel,Lui,33.62
Miko,Lui,23.92
Mio,Lui,35.2
Nene,Lui,32.75
Noel,Lui,32.28
Okayu,Lui,31.05
Pekora,Lui,19.5
Polka,Lui,36.18
Raden,Lui,24.59
Ririka,Lui,27.41
Roboco,Lui,38.79
Shion,Lui,28.96
Sora,Lui,29
Subaru,Lui,26.72
Suisei,Lui,23.21
Towa,Lui,24.26
Watame,Lui,28.24
Aki,Luna,19.38
Ao,Luna,21.85
Aqua,Luna,13.96
Ayame,Luna,17.95
AZki,Luna,30.71
Botan,Luna,32.04
