from,to,value
Lamy,Matsuri,3.1
Laplus,Matsuri,4.22
Lui,Matsuri,3.28
Luna,Matsuri,3.63
Marine,Matsuri,2.47
Miko,Matsuri,1.72
Mio,Matsuri,3.28
Nene,Matsuri,4.53
Noel,Matsuri,3.38
Okayu,Matsuri,2.41
Pekora,Matsuri,1.41
Polka,Matsuri,3.13
Raden,Matsuri,2.2
Ririka,Matsuri,3.33
Roboco,Matsuri,7.52
Shion,Matsuri,4.62
Sora,Matsuri,4.64
Subaru,Matsuri,2.13
Towa,Matsuri,3.41
Watame,Matsuri,2.11
Aki,Miko,20.14
Ao,Miko,21.18
Aqua,Miko,21.89
Ayame,Miko,14.73
AZki,Miko,21.82
Botan,Miko,17.2
Chloe,Miko,21.04
Choco,Miko,24.23
Flare,Miko,23.71
Fubuki,Miko,23.46
Haato,Miko,25.86
Hajime,Miko,26.12
Iroha,Miko,21.49
Kanade,Miko,21.23
Kanata,Miko,24.19
Korone,Miko,22.44
Koyori,Miko,24.49
Lamy,Miko,21.95
Laplus,Miko,17.25
Lui,Miko,22.85
Luna,Miko,26.41
Marine,Miko,24.29
Matsuri,Miko,24.51
Mio,Miko,24.54
Nene,Miko,28.63
Noel,Miko,24.44
Okayu,Miko,17.26
Pekora,Miko,22
Polka,Miko,19.02
Raden,Miko,16.93
Ririka,Miko,22.81
Roboco,Miko,33.02
Shion,Miko,23.33
Sora,Miko,22.09
Subaru,Miko,23.61
Towa,Miko,17.23
Watame,Miko,21.56
Aki,Mio,9.89
Ao,Mio,7.6
Aqua,Mio,7.17
Ayame,Mio,9.96
AZki,Mio,12.16
Botan,Mio,12.79
Chloe,Mio,9.37
Choco,Mio,18.69
Flare,Mio,15.04
Fubuki,Mio,14.94
Haato,Mio,10.47
Hajime,Mio,9.39
Iroha,Mio,12.88
Kanade,Mio,6.3
Kanata,Mio,9.63
Korone,Mio,12.17
Koyori,Mio,11.38
Lamy,Mio,11.19
Laplus,Mio,7.72
Lui,Mio,14.26
Luna,Mio,9.72
Marine,Mio,7.34
Matsuri,Mio,12.62
Miko,Mio,6.65
Nene,Mio,10.96
Noel,Mio,10.26
Okayu,Mio,13.18
Pekora,Mio,5.03
Polka,Mio,12.5
Raden,Mio,7.2
Ririka,Mio,8.56
Roboco,Mio,16.65
Shion,Mio,11.28
Sora,Mio,12.33
Subaru,Mio,10.94
Towa,Mio,10.75
Watame,Mio,9.29
Aki,Nene,10.5
Ao,Nene,10.09
Aqua,Nene,6.88
Ayame,Nene,5.7
AZki,Nene,8.76
Botan,Nene,12.93
Chloe,Nene,11.06
Choco,Nene,15.2
Flare,Nene,11.35
Fubuki,Nene,6.72
Haato,Nene,17.01
Hajime,Nene,12.53
Iroha,Nene,10.89
Kanade,Nene,9.86
Kanata,Nene,10.84
Korone,Nene,7.39
Koyori,Nene,10.43
Lamy,Nene,14.02
Laplus,Nene,9.05
Lui,Nene,11.08
Luna,Nene,14.89
Marine,Nene,8.54
Matsuri,Nene,16.24
Miko,Nene,7.22
Mio,Nene,10.2
Noel,Nene,10.77
Okayu,Nene,6.5
Pekora,Nene,6.32
Polka,Nene,14.28
Raden,Nene,6.27
Ririka,Nene,11.53
Roboco,Nene,17.31
Shion,Nene,8.46
Sora,Nene,10.92
Subaru,Nene,7.97
Towa,Nene,9.81
Watame,Nene,9.61
Aki,Noel,8.73
Ao,Noel,8.43
Aqua,Noel,5.55
Ayame,Noel,4.68
AZki,Noel,7.52
Botan,Noel,7.52
Chloe,Noel,10.39
Choco,Noel,23.82
Flare,Noel,15.28
Fubuki,Noel,6.96
Haato,Noel,11.17
Hajime,Noel,7.57
Iroha,Noel,8.8
