from,to,value
Ayame,Noel,15.54
AZki,Noel,19.52
Botan,Noel,16.61
Chloe,Noel,19.03
Choco,Noel,28.09
Flare,Noel,27.25
Fubuki,Noel,18.26
Haato,Noel,19.58
Iroha,Noel,20.88
Kanata,Noel,18.79
Korone,Noel,15.56
Koyori,Noel,17.84
Lamy,Noel,21.99
Laplus,Noel,21.59
Lui,Noel,22.39
Luna,Noel,22.56
Marine,Noel,21.52
Matsuri,Noel,20.72
Mel,Noel,29.07
Miko,Noel,15.57
Mio,Noel,20.01
Nene,Noel,20.66
Okayu,Noel,19.07
Pekora,Noel,15.23
Polka,Noel,21.67
Roboco,Noel,24.86
Shion,Noel,22.8
Sora,Noel,18.46
Subaru,Noel,16.03
Suisei,Noel,19.08
Towa,Noel,14.69
Watame,Noel,17.79
Aki,Okayu,33.84
Aqua,Okayu,24.76
Ayame,Okayu,22.36
AZki,Okayu,25.71
Botan,Okayu,23.39
Chloe,Okayu,23.79
Choco,Okayu,35.92
Flare,Okayu,28.63
Fubuki,Okayu,26.54
Haato,Okayu,23.2
Iroha,Okayu,27.26
Kanata,Okayu,22.83
Korone,Okayu,22.79
Koyori,Okayu,22.29
Lamy,Okayu,25.48
Laplus,Okayu,29.5
Lui,Okayu,25.89
Luna,Okayu,28.28
Marine,Okayu,22.49
Matsuri,Okayu,25.99
Mel,Okayu,32.63
Miko,Okayu,19.17
Mio,Okayu,30.61
Nene,Okayu,24.83
Noel,Okayu,28.98
Pekora,Okayu,17.65
Polka,Okayu,28.26
Roboco,Okayu,31.5
Shion,Okayu,29.76
Sora,Okayu,24.54
Subaru,Okayu,21.72
Suisei,Okayu,24.61
Towa,Okayu,20.89
Watame,Okayu,22.82
Aki,Pekora,47.72
Aqua,Pekora,41.27
Ayame,Pekora,29.19
AZki,Pekora,39.26
Botan,Pekora,37.84
Chloe,Pekora,40.66
Choco,Pekora,48.01
Flare,Pekora,46.24
Fubuki,Pekora,36.12
Haato,Pekora,41.86
Iroha,Pekora,43.8
Kanata,Pekora,43.37
Korone,Pekora,37.37
Koyori,Pekora,41.48
Lamy,Pekora,42.12
Laplus,Pekora,41.54
Lui,Pekora,44.41
Luna,Pekora,46.3
Marine,Pekora,44.37
Matsuri,Pekora,41.34
Mel,Pekora,48.04
Miko,Pekora,41.48
Mio,Pekora,42.19
Nene,Pekora,48.12
Noel,Pekora,45.88
Okayu,Pekora,34.98
Polka,Pekora,40.71
Roboco,Pekora,45.77
Shion,Pekora,50.06
Sora,Pekora,39.21
Subaru,Pekora,37.97
Suisei,Pekora,37.55
Towa,Pekora,35.69
Watame,Pekora,38.57
Aki,Polka,36.53
Aqua,Polka,21.31
Ayame,Polka,20.09
AZki,Polka,30.05
Botan,Polka,24.17
Chloe,Polka,21.56
Choco,Polka,34.84
Flare,Polka,31.2
Fubuki,Polka,26.05
Haato,Polka,24.8
Iroha,Polka,26.93
Kanata,Polka,22.99
Korone,Polka,18.58
Koyori,Polka,21.9
Lamy,Polka,26.12
Laplus,Polka,27.03
Lui,Polka,27.89
Luna,Polka,29.34
Marine,Polka,21.53
Matsuri,Polka,25.78
Mel,Polka,31.99
Miko,Polka,20.64
Mio,Polka,29.11
Nene,Polka,27.07
Noel,Polka,25.8
Okayu,Polka,22.14
Pekora,Polka,16.09
Roboco,Polka,32.12
Shion,Polka,28.43
Sora,Polka,27.52
Subaru,Polka,21.26
Suisei,Polka,32.66
Towa,Polka,20.21
Watame,Polka,22.55
Aki,Roboco,24.12
Aqua,Roboco,11.86
Ayame,Roboco,10.17
AZki,Roboco,16.28
Botan,Roboco,12.19
Chloe,Roboco,10.82
Choco,Roboco,19.95
Flare,Roboco,14.06
Fubuki,Roboco,11.69
Haato,Roboco,16.61
Iroha,Roboco,12.75
Kanata,Roboco,11.19
Korone,Roboco,9.33
Koyori,Roboco,10.64
Lamy,Roboco,12.28
Laplus,Roboco,12.61
Lui,Roboco,14.82
Luna,Roboco,15.84
Marine,Roboco,9.47
Matsuri,Roboco,15.02
Mel,Roboco,21.07
Miko,Roboco,9.13
Mio,Roboco,12.63
Nene,Roboco,14.63
Noel,Roboco,12.8
Okayu,Roboco,10.68
Pekora,Roboco,7.83
Polka,Roboco,13.9
Shion,Roboco,15.48
Sora,Roboco,16.54
Subaru,Roboco,9.51
Suisei,Roboco,11.61
Towa,Roboco,12.5
Watame,Roboco,12.3
Aki,Shion,21.84
Aqua,Shion,25.58
Ayame,Shion,18.81
AZki,Shion,15.5
Botan,Shion,11.99
Chloe,Shion,14.4
Choco,Shion,20.67
Flare,Shion,15.75
Fubuki,Shion,12.42
Haato,Shion,15.44
Iroha,Shion,15.1
Kanata,Shion,14
Korone,Shion,11.75
Koyori,Shion,12.47
Lamy,Shion,15.98
Laplus,Shion,18.87
Lui,Shion,14.3
Luna,Shion,17.32
Marine,Shion,13.56
Matsuri,Shion,15.45
Mel,Shion,20.53
Miko,Shion,11.77
Mio,Shion,15.36
Nene,Shion,16.18
Noel,Shion,14.82
Okayu,Shion,12.73
Pekora,Shion,10.8
Polka,Shion,15.52
Roboco,Shion,19.54
Sora,Shion,15.46
Subaru,Shion,11.94
Suisei,Shion,15.92
Towa,Shion,13.97
Watame,Shion,12.67
Aki,Sora,34.96
Aqua,Sora,20.3
Ayame,Sora,15.54
AZki,Sora,28.8
Botan,Sora,18.03
Chloe,Sora,17.47
Choco,Sora,29.3
Flare,Sora,21.61
Fubuki,Sora,17.31
Haato,Sora,25.34
Iroha,Sora,22.61
Kanata,Sora,17.92
Korone,Sora,15.13
Koyori,Sora,19.17
Lamy,Sora,20.2
Laplus,Sora,18.42
Lui,Sora,20.66
Luna,Sora,24.65
Marine,Sora,15.15
Matsuri,Sora,22.47
Mel,Sora,28.13
Miko,Sora,16.98
Mio,Sora,21.23
Nene,Sora,23.49
Noel,Sora,18.4
Okayu,Sora,16.09
Pekora,Sora,12.97
Polka,Sora,23.03
Roboco,Sora,31.99
Shion,Sora,23.7
Subaru,Sora,15.24
Suisei,Sora,20.85
Towa,Sora,18.46
Watame,Sora,21.17
Aki,Subaru,48.55
Aqua,Subaru,33.14
Ayame,Subaru,26.67
AZki,Subaru,39.33
Botan,Subaru,36.33
Chloe,Subaru,30.57
Choco,Subaru,48.91
Flare,Subaru,40.49
Fubuki,Subaru,31.87
Haato,Subaru,32.84
Iroha,Subaru,37.15
Kanata,Subaru,37.53
Korone,Subaru,33.1
Koyori,Subaru,36.13
Lamy,Subaru,38.81
Laplus,Subaru,35.68
Lui,Subaru,41.84
Luna,Subaru,44.16
Marine,Subaru,36.1
Matsuri,Subaru,34.37
Mel,Subaru,42.07
Miko,Subaru,33.67
